"Accenture (NYSE:ACN): -5.32%, 1 Year ratio: 1.46, 2 Year ratio: 1.44"
"Ball (NYSE:BLL): -7.77%, 1 Year ratio: 1.55, 2 Year ratio: 1.4"
"CarMax (NYSE:KMX): -8.49%, 1 Year ratio: 1.23, 2 Year ratio: 1.27"
"Carnival (NYSE:CCL): -7.02%, 1 Year ratio: 1.43, 2 Year ratio: 1.48"
"D.R. (NYSE:DHI): -7.06%, 1 Year ratio: 1.3, 2 Year ratio: 1.24"
"Edwards (NYSE:EW): -5.57%, 1 Year ratio: 1.94, 2 Year ratio: 3.66"
"Estée (NYSE:EL): -7.26%, 1 Year ratio: 1.85, 2 Year ratio: 1.74"
"First (NYSE:FRC): -5.01%, 1 Year ratio: 1.52, 2 Year ratio: 1.19"
"Fortune (NYSE:FBHS): -5.88%, 1 Year ratio: 1.49, 2 Year ratio: 1.26"
"Garmin (NYSE:GRMN): -5.27%, 1 Year ratio: 1.53, 2 Year ratio: 1.58"
"Global (NYSE:GPN): -6.53%, 1 Year ratio: 1.34, 2 Year ratio: 1.39"
"Home (NYSE:HD): -5.98%, 1 Year ratio: 1.2, 2 Year ratio: 1.36"
"Invesco (NYSE:IVZ): -6.24%, 1 Year ratio: 1.32, 2 Year ratio: 1.2"
"Kimco (NYSE:KIM): -5.16%, 1 Year ratio: 2.41, 2 Year ratio: 2.1"
"Las (NYSE:LVS): -5.32%, 1 Year ratio: 1.55, 2 Year ratio: 1.61"
"Moody's (NYSE:MCO): -5.06%, 1 Year ratio: 1.47, 2 Year ratio: 1.31"
"MSCI (NYSE:MSCI): -5.09%, 1 Year ratio: 1.51, 2 Year ratio: 1.26"
"NVR (NYSE:NVR): -5.6%, 1 Year ratio: 2.78, 2 Year ratio: 1.72"
"ONEOK (NYSE:OKE): -6.15%, 1 Year ratio: 1.75, 2 Year ratio: 1.3"
"Paycom (NYSE:PAYC): -9.19%, 1 Year ratio: 1.28, 2 Year ratio: 1.27"
"PerkinElmer (NYSE:PKI): -6.45%, 1 Year ratio: 1.48, 2 Year ratio: 1.7"
"PVH (NYSE:PVH): -8.4%, 1 Year ratio: 1.37, 2 Year ratio: 1.49"
"Ralph (NYSE:RL): -7.65%, 1 Year ratio: 1.41, 2 Year ratio: 1.09"
"Royal (NYSE:RCL): -5.71%, 1 Year ratio: 2.77, 2 Year ratio: 1.7"
"S&P (NYSE:SPGI): -5.48%, 1 Year ratio: 2.45, 2 Year ratio: 1.96"
"Salesforce (NYSE:CRM): -8.17%, 1 Year ratio: 2.02, 2 Year ratio: 1.53"
"Sealed (NYSE:SEE): -5.68%, 1 Year ratio: 1.39, 2 Year ratio: 1.32"
"Stanley (NYSE:SWK): -6.09%, 1 Year ratio: 1.36, 2 Year ratio: 1.3"
"Tapestry (NYSE:TPR): -6.36%, 1 Year ratio: 1.65, 2 Year ratio: 1.53"
"United (NYSE:URI): -6.29%, 1 Year ratio: 1.23, 2 Year ratio: 1.23"
"V.F. (NYSE:VFC): -6.36%, 1 Year ratio: 2.34, 2 Year ratio: 1.17"
"Vulcan (NYSE:VMC): -5.44%, 1 Year ratio: 1.53, 2 Year ratio: 1.49"
"Whirlpool (NYSE:WHR): -5.07%, 1 Year ratio: 1.33, 2 Year ratio: 1.18"
"Xylem (NYSE:XYL): -5.25%, 1 Year ratio: 1.21, 2 Year ratio: 1.32"
